"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"J","1051"," 679"," 855"," 703"," 1158"," 2.49"," -0.37"," -0.09"," -4.13"," -7.99"," -4.88"
"J","1023"," 667"," 851"," 691"," 1154"," -1.71"," 0.80"," 2.50"," -3.92"," -10.66"," -1.89"
"J","1008"," 656"," 811"," 619"," 1118"," -6.10"," -0.60"," 2.88"," 2.52"," -11.37"," 7.62"
"J","1010"," 662"," 826"," 665"," 1158"," -1.14"," -4.41"," -1.72"," 0.70"," 4.15"," 7.50"
"J","1018"," 678"," 838"," 673"," 1152"," 5.65"," 0.72"," 2.11"," -6.19"," 1.06"," 4.85"
"J","1038"," 686"," 853"," 692"," 1151"," 8.50"," -0.77"," -0.58"," -1.84"," -8.37"," -1.09"
"J","1040"," 697"," 869"," 709"," 1165"," 0.52"," -0.03"," 0.08"," -3.39"," -5.70"," -3.43"
"J","1017"," 686"," 853"," 679"," 1099"," -5.16"," 0.19"," 1.04"," -0.09"," -11.29"," -2.54"
"J","1017"," 675"," 832"," 659"," 1115"," -7.20"," -0.52"," 1.58"," 2.73"," -9.26"," 6.85"
"J","1019"," 682"," 825"," 670"," 1127"," -1.59"," -2.41"," -0.48"," -1.73"," 0.95"," 12.67"
"J","1040"," 688"," 848"," 689"," 1136"," 5.39"," 0.80"," 3.18"," -6.92"," -2.56"," 7.62"
"J","1041"," 688"," 853"," 685"," 1139"," 2.75"," 0.17"," 1.26"," -4.07"," -11.53"," 2.08"
"J","1049"," 689"," 857"," 691"," 1137"," 1.28"," 0.09"," -0.26"," -3.77"," -9.66"," -3.71"
"J","1040"," 679"," 867"," 692"," 1159"," 1.57"," 0.27"," 0.51"," -3.66"," -4.64"," -2.27"
"J","1008"," 661"," 825"," 677"," 1133"," -1.40"," 1.32"," 1.93"," -6.53"," -6.40"," -0.65"
"J","1023"," 674"," 851"," 691"," 1129"," -2.10"," 0.76"," 1.41"," -4.84"," -8.25"," -3.28"
"J","1039"," 688"," 867"," 687"," 1122"," -4.77"," 2.30"," 2.37"," -4.38"," -10.21"," 2.97"
"J","1047"," 686"," 875"," 690"," 1124"," -6.30"," 0.78"," 1.70"," -3.10"," -10.73"," 4.91"
"J","1016"," 656"," 838"," 682"," 1135"," -5.29"," -1.53"," -0.32"," -1.59"," -5.82"," 8.12"
"J","1039"," 674"," 863"," 699"," 1136"," 1.16"," -0.66"," 1.47"," -5.38"," -0.30"," 9.50"
"J","1043"," 679"," 866"," 699"," 1152"," 5.78"," 1.02"," 1.49"," -4.69"," 0.85"," 7.36"
"J","1041"," 681"," 857"," 684"," 1129"," 2.08"," 0.24"," -0.02"," -4.70"," -9.68"," 3.64"
"J","1021"," 666"," 864"," 672"," 1145"," 3.21"," 1.49"," 0.63"," -2.58"," -7.88"," 0.66"
