"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"W","928"," 999"," 1215"," 891"," 624"," -0.11"," -0.52"," 0.31"," -7.31"," -4.26"," -6.43"
"W","936"," 996"," 1214"," 890"," 640"," -0.02"," 0.38"," -0.29"," -7.73"," -1.23"," -1.71"
"W","924"," 1004"," 1216"," 875"," 631"," -0.13"," 0.20"," -0.25"," -7.41"," -5.90"," -5.83"
"W","924"," 995"," 1211"," 871"," 628"," 0.69"," -0.62"," 0.43"," -7.32"," -1.35"," -3.14"
"W","930"," 997"," 1213"," 869"," 592"," -0.67"," 0.71"," -0.49"," -7.50"," -3.59"," -4.49"
"W","937"," 996"," 1206"," 833"," 598"," 0.46"," -0.73"," 0.63"," -6.10"," -4.05"," -5.91"
"W","929"," 992"," 1200"," 821"," 587"," 0.24"," -0.09"," -0.04"," -7.13"," -1.90"," -3.29"
"W","891"," 993"," 1200"," 832"," 579"," -0.29"," 0.19"," -0.42"," -6.90"," -6.21"," -6.30"
"W","957"," 1002"," 1218"," 912"," 579"," 0.14"," -0.68"," 0.55"," -7.70"," -4.78"," -4.37"
"W","974"," 1005"," 1235"," 951"," 572"," -0.59"," -0.23"," 0.40"," -9.36"," -2.04"," -3.06"
"W","949"," 1008"," 1237"," 971"," 558"," -0.38"," -0.22"," 0.15"," -9.46"," -1.66"," -4.15"
"W","936"," 1007"," 1250"," 989"," 570"," 0.15"," -0.33"," -0.39"," -8.65"," -4.44"," -0.68"
"W","954"," 1013"," 1205"," 965"," 554"," 0.00"," 0.33"," 0.47"," -7.84"," -2.35"," -2.84"
"W","949"," 1021"," 1238"," 998"," 546"," -0.14"," 0.03"," -0.10"," -8.75"," -1.54"," -7.01"
"W","955"," 1023"," 1245"," 1004"," 561"," 0.02"," -0.17"," 0.34"," -7.79"," -2.36"," -3.94"
"W","947"," 1023"," 1248"," 1003"," 560"," -0.08"," -0.76"," 0.14"," -7.54"," -2.11"," -6.59"
"W","933"," 1021"," 1249"," 987"," 558"," 0.09"," 0.49"," -0.54"," -10.58"," -3.01"," -7.81"
"W","934"," 1018"," 1247"," 979"," 560"," -0.34"," 0.77"," 0.06"," -6.07"," -1.93"," -4.99"
"W","944"," 1018"," 1248"," 979"," 583"," -0.16"," 0.62"," -0.09"," -7.15"," -2.40"," -4.63"
"W","921"," 1017"," 1248"," 990"," 589"," 0.41"," -0.53"," 0.06"," -5.43"," -2.53"," -3.11"
"W","928"," 1019"," 1247"," 987"," 588"," -0.32"," 0.77"," -0.10"," -6.52"," -2.52"," -3.28"
"W","938"," 1015"," 1245"," 972"," 585"," 0.10"," -0.58"," 0.28"," -7.52"," -2.82"," -3.55"
"W","931"," 1015"," 1243"," 976"," 576"," -0.02"," -0.45"," 0.16"," -7.91"," -2.35"," -3.40"
"W","935"," 1018"," 1249"," 979"," 579"," -0.40"," -0.21"," 0.49"," -8.00"," -1.99"," -3.11"
"W","923"," 1003"," 1237"," 965"," 587"," 0.35"," -0.56"," 0.29"," -7.63"," -4.52"," -4.59"
"W","903"," 997"," 1237"," 957"," 579"," -0.43"," -0.50"," 0.66"," -7.96"," -4.19"," -4.88"
"W","914"," 997"," 1237"," 950"," 587"," -0.03"," -0.54"," 0.31"," -6.78"," -1.94"," -4.86"
"W","909"," 995"," 1234"," 952"," 572"," 0.16"," 0.01"," -0.14"," -6.35"," -0.44"," -3.17"
"W","906"," 1000"," 1236"," 963"," 576"," -0.00"," 0.32"," -0.04"," -6.57"," -1.64"," -2.84"
"W","912"," 1023"," 1246"," 993"," 599"," -0.22"," 0.60"," -0.06"," -8.77"," -2.36"," -4.96"
"W","919"," 1037"," 1238"," 994"," 586"," 0.37"," -0.27"," -0.11"," -8.69"," -1.24"," -2.83"
"W","918"," 1034"," 1227"," 965"," 582"," 0.94"," -0.24"," -0.17"," -6.49"," -1.82"," -1.22"
"W","923"," 1023"," 1225"," 946"," 592"," 0.14"," 0.17"," 0.01"," -7.17"," -1.23"," -1.85"
"W","914"," 1034"," 1225"," 946"," 579"," -0.60"," 1.12"," 0.03"," -6.41"," -1.08"," -4.64"
"W","912"," 1023"," 1229"," 956"," 581"," -0.33"," 0.91"," -0.28"," -7.89"," -2.38"," -6.99"
"W","912"," 1022"," 1227"," 942"," 592"," 0.03"," -0.63"," 0.30"," -7.01"," -2.19"," -6.05"
"W","909"," 1018"," 1238"," 977"," 576"," -0.03"," 0.14"," -0.06"," -6.86"," -1.99"," -2.05"
