"Alphabet","flex1","flex2","flex3","flex4","flex5","gyrx","gyry","gyrz","accx","accy","accz"
"Y","1231"," 558"," 759"," 618"," 1057"," -0.02"," -0.02"," 0.00"," -7.32"," -0.47"," -5.81"
"Y","1232"," 557"," 756"," 609"," 1051"," -0.12"," -0.01"," 0.04"," -5.74"," -1.25"," -6.87"
"Y","1233"," 557"," 759"," 612"," 1081"," -0.09"," -0.32"," 0.07"," -6.37"," -2.31"," -5.13"
"Y","1228"," 557"," 753"," 615"," 1098"," 0.09"," 0.65"," 0.20"," -7.57"," 0.80"," -6.06"
"Y","1230"," 557"," 761"," 621"," 1095"," -0.15"," -0.70"," 0.19"," -6.58"," -0.39"," -7.78"
"Y","1232"," 557"," 755"," 615"," 1061"," -0.15"," -0.46"," 0.06"," -8.03"," -0.22"," -5.36"
"Y","1221"," 556"," 752"," 598"," 1109"," 0.09"," -0.59"," 0.16"," -6.55"," -2.45"," -6.38"
"Y","1232"," 556"," 759"," 612"," 1101"," 0.00"," -0.02"," 0.02"," -7.35"," -2.37"," -5.65"
"Y","1230"," 556"," 760"," 622"," 1093"," -0.04"," 0.60"," -0.17"," -7.07"," -1.21"," -6.62"
"Y","1227"," 556"," 761"," 621"," 1063"," -0.02"," -0.03"," 0.01"," -7.32"," -0.35"," -5.75"
"Y","1219"," 555"," 745"," 606"," 1110"," -0.07"," 0.54"," -0.06"," -7.95"," -2.88"," -6.72"
"Y","1217"," 555"," 752"," 601"," 1099"," -0.03"," 0.27"," -0.11"," -7.63"," -2.95"," -7.76"
"Y","1232"," 555"," 764"," 622"," 1114"," 0.74"," 0.16"," 0.35"," -7.76"," 0.07"," -3.29"
"Y","1229"," 555"," 761"," 622"," 1097"," -0.02"," -0.34"," 0.07"," -6.23"," 0.62"," -5.66"
"Y","1229"," 555"," 759"," 621"," 1093"," -0.30"," 0.18"," 0.07"," -6.86"," -0.94"," -7.61"
"Y","1229"," 555"," 763"," 620"," 1066"," -0.06"," -0.08"," 0.06"," -7.24"," -0.39"," -5.37"
"Y","1227"," 555"," 758"," 617"," 1063"," -0.03"," -0.01"," 0.01"," -7.34"," -0.48"," -5.89"
"Y","1229"," 555"," 757"," 618"," 1062"," -0.03"," -0.01"," 0.02"," -7.26"," -0.43"," -5.86"
"Y","1233"," 554"," 761"," 617"," 1088"," -0.00"," 0.00"," 0.03"," -7.27"," -1.66"," -5.52"
"Y","1232"," 554"," 761"," 617"," 1101"," -0.02"," -0.01"," 0.03"," -7.11"," -2.44"," -5.56"
"Y","1220"," 553"," 752"," 602"," 1098"," -0.09"," 0.23"," -0.00"," -7.30"," -3.43"," -6.77"
"Y","1230"," 553"," 752"," 619"," 1121"," -0.05"," 0.02"," 0.04"," -8.68"," -0.56"," -3.73"
"Y","1230"," 553"," 752"," 620"," 1104"," -0.02"," -0.01"," 0.00"," -8.40"," -0.50"," -4.21"
"Y","1228"," 553"," 761"," 623"," 1098"," -0.26"," -0.18"," 0.04"," -7.08"," 0.28"," -6.53"
"Y","1229"," 553"," 765"," 619"," 1099"," -0.41"," -0.75"," 0.17"," -6.58"," 0.67"," -6.95"
"Y","1221"," 551"," 747"," 599"," 1111"," -0.08"," 0.16"," 0.03"," -6.73"," -2.22"," -4.57"
"Y","1230"," 551"," 761"," 614"," 1065"," -0.54"," 1.00"," 0.14"," -5.92"," -1.15"," -7.35"
"Y","1231"," 551"," 752"," 619"," 1114"," -0.04"," -0.02"," 0.04"," -8.45"," -0.65"," -4.26"
"Y","1231"," 551"," 752"," 621"," 1107"," -0.03"," -0.01"," 0.01"," -8.44"," -0.64"," -4.27"
"Y","1232"," 550"," 753"," 622"," 1104"," -0.03"," -0.03"," 0.01"," -8.37"," -0.47"," -4.23"
"Y","1230"," 550"," 752"," 618"," 1091"," -0.04"," -0.03"," 0.02"," -8.42"," -0.39"," -4.19"
"Y","1227"," 549"," 753"," 619"," 1114"," -0.02"," -0.03"," 0.02"," -8.47"," -0.68"," -3.93"
